Name,phone,address,The first reviewers Name,The first reviewers Score,The review text,The page link
McDonald's,+912266000666,"34, SGS Magnum Mall, Moledina Road, Camp Area, Pune",Nikita Khare,Rated 3.0,"Mc Donalds will be Mc Donalds irrespective of any condition but yeah found new offers in this place so I am happy. They give special offers on festive occasions. Overall Experience is good, ambience is average and you can enjoy with friends anywhere and this is one",https://www.zomato.com/pune/mcdonalds-camp-area
McDonald's,+912266000666,"Shop 22, Balewadi High Street, Cummins India Office Complex, Baner, Pune",Vaibhav Gilbile,Rated 4.0,"When you have the right blend of ingredients, there's no need of customise.
I'm always ready for the McDonald's. Whenever I get hungry I think about McDonald's food. It's so tasty.
Last time I was with my friends. We ordered mocha, big spicy chicken wrap, American mud pie, chatpata nan-kabab. Service is very good. There is self service.
Only thing that made me irritate was there's only",https://www.zomato.com/pune/mcdonalds-baner
McDonald's,+912266000666,"Ground Floor, Mariplex Mall, Kalyani Nagar, Pune",Subita Landge,Rated 5.0,"Once a week i visit this outlet.
Ideally visiting since 2008. One of my favourite outlet in pune.
Lovely staff.
spacious Ambience.
Super clean always.
Nice discounts and offers available, and good thing is that the staff tells u abt the discount or the offer u can avail.
Love mcdonalds Kalyani",https://www.zomato.com/pune/mcdonalds-1-kalyani-nagar
McDonald's,+912266000666,"Premier Plaza, Old Mumbai Pune Highway, Chinchwad, Pune",Priyanka Jain,Rated 3.0,"I didn't really like the salsa, so ordered the mexican fries without salsa and added extra cheese.
They can add cheesy fries to thier menu, it will surely sell more!
They truly have a good and polite staff. I was able to order the normal menu, even though the timings allowed only bre",https://www.zomato.com/pune/mcdonalds-chinchwad
McDonald's,+912266000666,"HPCL, KPIT Cummins, Near Krishna Petrol Pump, Phase 2 Road, Hinjawadi, Pune",Archi Choudhary,Rated 4.0,"I always love to have the soft serve of mc d. They have introduced some breakfast options also. The mc masala dosa brioche is nice and a good option to try. But never try the veg rice bowl of mc d. Its so bad, its only having the taste of tomato along with s",https://www.zomato.com/pune/mcdonalds-hinjawadi
McDonald's,+912266000666,"Rainbow Plaza, Near Shivar Garden, Pimple Saudagar, Pune",Sharanye Koushik,Rated 3.0,"Home Delivery review:
Ordered Mc spicy panner burger: good in taste
Pizza puff: okay type, the stuff and coat doesn't go well together.
Mc veggie : on usual scale.
Service : 4",https://www.zomato.com/pune/mcdonalds-pimple-saudagar
McDonald's,+912266000666,"Near City Pride Multiplex, 692 A2A Saluja Chambers, Satara Road, Pune",Foodie Hunk,Rated 3.0,"Burgers on my mind and only one name came to my mind Mc D ... as usual they tasted good.. but as it was take away they were cold...
American Cheese Veg / Non veg - both were good in taste but were cold. I like the combination of sause + cheese +Chicken in this Burgers..
Spicy Paneer- as it was expensive but taste was grt..
Mexican cheesy Fries- dispointed with this .. actually u should drop this item from menu for take away and delivery as they get soa",https://www.zomato.com/pune/mcdonalds-satara-road
McDonald's,+912266000666,"8 -14 Stellar Enclave, DP Road, Aundh, Pune",Neha Nemade,Rated 4.0,"McDonald's is known for its same taste and everytime serving us with the perfect fries !!

Everything remains the same with this outlet too..
Service is good and quick.

This outlet also has Mccafe and every time i have cappuccino there..its just perfect !!

The decor and overall Ambience is good.
Situated at a very hardcore place..no other McDonald's available nearby along with Mccafe..

My all time favourite spot after office to have my ",https://www.zomato.com/pune/mcdonalds-aundh
McDonald's,+912266000666,"Ground Floor, Suyog Plaza, JM Road, Pune",Omkar's Food Diaries,Rated 3.0,Sometimes the location of the any outlet is matter so much because you dont have that much option to hangout. The JM road McD is one of them. Although there are other options are available but still this place is always crowded. In addition to that it's 2 floor place so there is ample of space for sit. So you will definitely get place to sit. Apart from this I don't have to say anything abt food. Because it's already been benchmarked. So if you have problem to sit anywhere McD is there,https://www.zomato.com/pune/mcdonalds-jm-road
Mcdonald's,+912066000666,"1st Floor, West Black, Food Court, Amanora Town Centre, Hadapsar, Pune",Chaitali Wayakule,Rated 2.0,"I have had ordered multiple times from this place it is closest to my house. Mostly delivery is not available from the store. But you only get to know that they are not giving delivery once you have paid for food & waited for half hour.

This store have decent sitting arrangements huge space. You get good service inside the store but can't be said same for delivery. No matter if you order from McDonald's website or from any other websites.

I tried new rice. It said spicy but I doubt their was spice in it. The box had good amount of peas & corn. It was only tomato flavor water neither salt nor spices. It was a bad product",https://www.zomato.com/pune/mcdonalds-1-hadapsar
McDonald's,+912266000666,"Survey 15/4, Near Santosh Nagar, Thergaon, Dange Chowk, Pune",Silky Rungta Agrawal,Rated 4.0,"McDonald's is always my favorite when it comes to Burger i really loved mc-veggies thats my favorite, My second favourite is mc-spicy paneer.
Recently i have seen few addition in their menu & tried Mexican frenh fries it was not worth, in normal fries they put some salsa & cheese sauce, i would not recommend, as their normal french fries is far better & crunchy.

service is really fast & staff are very polite . It is very spacious having a huge sitting area.
loved the experience.

The Only problem we faced is parking 4 wheeler, if proper arrangement can be made it wou",https://www.zomato.com/pune/mcdonalds-dange-chowk
McDonald's,+912266000666,"Showroom 102 & 103, Bearing Survey 116, Mumbai Bangalore Highway, Warje, Pune",Puneri Chowhound,Rated 3.0,"This place is really crowded and the service is unbelievably slow..i have no idea why.
I ordered mc aloo tikki- the burger was tasty but the sauce was barely there, would have liked some more...and potato wedges (regular)- I had to wait extra 10 mins for these after I got the burger. The wedges were piping hot and the bigger one's were soft and soggy. There was almost no masala on them.
I also had asked for aloo chatpata naan..but it was not available in this outlet.
1 star removed for s",https://www.zomato.com/pune/mcdonalds-warje
McDonald's,+912266000666,"Seasons Mall, Magarpatta City, Magarpatta, Pune",Ranjeet Singh Shrail,Rated 5.0,Egg and cheese mc muffin meal and veg pizza mcmuffin were ideal for home delivery on Gandhi Jayanti for an 11AM brunch. Prepration and taste were really good and worth the money paid for. Lives upto yhe Mc,https://www.zomato.com/pune/mcdonalds-magarpatta
McDonald's,+912266000666,"Unit 201, Kakade Center Port, CTS 2687B, Bhamburda, Shivaji Nagar, Pune",Varun J,Rated 4.0,"We ordered meal for 2,new potato veggies and mc egg ! As always food ws delicious except the e potato veggies which were ok !burger bun. Meal for 2 included mc veggie /chicken coke and icecream with choclate syrup as well! So we were satisf",https://www.zomato.com/pune/mcdonalds-shivaji-nagar
Mcdonald's,"+919527013321
+918668304270","Loni Kalbhor, Pune-Solapur Road, Pune",PKFoodPrint,Rated 4.0,"Mc Donalds

I took a parcel from this outlet on my recent visit to my native place. Ordered 3 mc aloo tikki burgers and one medium fries. The burger was nicely done as usual, the bun was soft and tikki was superb in taste. The fried were also nicely done and were not oily.

The packing for burgers was properly done and had paper napkins and sauce sachets in it, however the fries were packed in the regular serving paper pouch which is served at all the outlets, it was kept as it is in the parcel bag because of which some fries came out of it. I think the packing for the fries should be done in a spill proof box.

Paid around 199 for the meal. Parcel was handed over in less than 10 mins. Staff was polite a",https://www.zomato.com/pune/mcdonalds-pune-solapur-road
McDonald's,+912066000666,"G 7, Phoenix Market City, Nagar Road, Viman Nagar, Pune",Abhilasha Adhikary,Rated 5.0,One cannot go wrong with the food when you step in here. My all time favorite is the Mac Maharaja burger and the wraps as well. Loving the chees,https://www.zomato.com/pune/mcdonalds-viman-nagar
McDonald's,+912266000666,"Dorabjee Mall, Survey 25/5, NIBM Extension, Dorabjee Paradise, NIBM Road, Pune",Sara Mujawar,Rated 4.0,"Good ambience
Great service
A very clean and tidy place
Just love the McDonald’s fries 🍟
The coke float is a match made in heaven 🤩
Their Mexican aloo tikki burger 🍔 is yum 😋
Best place to enjoy a meal with friends and family
Great for takeaways
Ove",https://www.zomato.com/pune/mcdonalds-nibm-road
McDonald's,+912266000666,"Pune Central, Near Garware College, Erandwane, Pune",Aditya Kulkarni,Rated 4.0,"Maharaja Mac Is The Burger I Have Ordered And Nothing Is More To Tell About The MacDonald The Taste Is Good And Location Wise It Is Good Place To Eat Inn.
So Overall Good Experience To Eat",https://www.zomato.com/pune/mcdonalds-erandwane
McDonald's,+912266000666,"Ground Floor, Lonavala Square, Behind Kumar Resorts",Sneha Surapalli,Rated 4.0,Its one of the best fast food outlet... i always prefer mcdonalds...its give good service and the price are reasonable... Ambienc,https://www.zomato.com/pune/mcdonalds-lonavala
McDonald's,+912266000666,"Chanakya Nagri, Sinhgad Road, Pune",Monica Sonar,Rated 4.0,"One of my most and frequently visited place of mylist.
My fixed menu of here mcspicy chicken large combo.
One of the most spacious mcd in pune.
Staff is humble and helpful.
They also suggest you to make your orders done.
Overall a nice experience ever",https://www.zomato.com/pune/mcdonalds-sinhgad-road
McDonald's,+912266000666,"GA 18-19, Sacred World Mall, Jagtap Chowk, Wanowrie, Pune",Shagufta,Rated 3.0,"Since the time Mc Donald’s have opened at this place I have been visiting it quiet often as it’s very close to my place. Recently they have changed their interiors band it looks very bright and spacious.

Combo meals are great with French fries and coke. I loved loved Chicken kebab burger, very crisp chicken patty. Mc Chicken and Chicken Wraps are great too. Yes how can I forget the coke float, it’s a must for me on my table!

Staff have been sweet and well mann",https://www.zomato.com/pune/mcdonalds-wanowrie
McDonald's,+912266000666,"Survey 32/2, Gurukrupa Hall, Ambegaon Budruk, Near Dmart, Dhankawadi, Pune",Shubham Mahajan,Rated 3.0,Full menu never available. Marketing it as a drive thru takes away the feel of the place. Serving time is decent and food meets McDonald',https://www.zomato.com/pune/mcdonalds-dhankawadi
McDonald's,+912266000666,"Survey 127, Gopal House, Harshal Gardens, Karve Road, Kothrud, Pune",Gaurav Kishor Shinde,Rated 4.0,"Brand when it comes to Burgers , fries & many more, having chain of outlets.Tried their Karve road, Kothrud outlet.

We ordered here

McAloo Tikki
Perfect aloo Tikki in soft bun with the right amount of sauces, all time favorite.

Fries
Crispy outside crunchy as well as a soft touch inside.

McFlurry Oreo
Treat to end with this dessert, having crunchy Oreo chunks.

Coke adds the atmosphere to calmn down.

Staff is polite , suggestive & friendly.

This outlet offers table service so no need for other person to rush to the table & other to order & do the self service.

Just give the order over counter , pay & the food will be at yo",https://www.zomato.com/pune/mcdonalds-kothrud
McDonald's,+912266000666,"42 / 43, 3rd Floor, Kumar Pacific Mall, Shankar Seth Road, Swargate, Pune",Vini Singh,Rated 4.0,Its always a pleasure to have french fries from McDonald.. i love their ambience.. i personally dnt like ketchup but when combine to french fries it gives some out of boundary taste,https://www.zomato.com/pune/mcdonalds-swargate
McDonald's,+912266000666,"Phoenix Market City, Nagar Road, Viman Nagar, Pune",Iam AK(Anaikomagan),Rated 4.0,"#DikhaawaEATSOut #39 #McDonalds #PhoenixMarketCity #VimanNagar #Pune

Visiting A Mall And Not Eating At The McDonalds sounds a bore. So we tried to sound cliche. Also to try the discontinued Filet-O-Fish Burger At Chennai Outlets.

Dishes Ordered —
1) Filet-O-Fish Meal ~ This Filet-O-Fish Burger is heaven. The Fish Pattice is just on point and the Fries With Coke Only Complement. Pick Of The EATOut.
2) Veg McPuff ~ Nicely Made Puff with usual Paneer and veggies stuff.
3) McEgg ~ The Pattice is like double cooked Hakf Boil Egg. Another Decent Burger.
4) McAloo Tikki ~ Very Fresh and essence of Aloo Tikki is also there.

Ambience ~ Usual McDonalds Type Set Up.
Worth For The Price ~ Worth it for the quantity.
Location Accessiblity ~ Is Located On Lower Ground Of Mall.
Service ~ Self Service.
Hygiene ~ Yes,it’s hygiene.
Washroom ~ Washroom is Of mall.

Overall -
I just went for The Filet-O-Fish Because ",https://www.zomato.com/pune/mcdonalds-1-viman-nagar
McDonald's,+912266000666,"Plot 5/2 /6, Bhusari Colony, Near Kothrud Bus Depot, Paud Road, Kothrud, Pune",Aanchal Chandola,Rated 5.0,"Whenever I feel hungry, I always prefer McD .From Mc aloo tikki to Mc flurry everything has my 💓 heart. So recently they came up with new drink ""Cappuccino"" and I must it's really good and refreshing and a perfect 1 am reason to g",https://www.zomato.com/pune/mcdonalds-1-kothrud
McDonald's,+912266000666,"Mega Mart, Survey 365, Dapodi, Pimple Gurav, Pune",NEIL OSWIN👩‍🍳,Rated 1.0,"Air condition doesn't work! And even it wasn't working the last time i came here ! Maybe 4 months before!
Ordered mcflurry oreo which comes in Vanilla flavour!but they gave it in strawberry flavour!?,😾😾 Who can do such a thing when they are out of. Stock!
Never going to visit again! disappointed!
French fries were veey salty!
Ambience is good !
Big place!
They dont serve coffee in mug! But. In paper cup! And give. Only two sugar sachets!
Toilets are",https://www.zomato.com/pune/mcdonalds-pimple-gurav
McDonald's,+912266000666,"201, Kakade Center Port, Pune University Road, Pune University, Pune",Bunny,Rated 3.0,"Spacious. Quick service.
Different seating arrangements available.
No complaints regarding food till date. ✌🏼
Good location. Right next to E square on the univ",https://www.zomato.com/pune/mcdonalds-pune-university
McDonald's,+912266000666,"Unit SF 09, 2nd Floor, Dorabjee's Royal Heritage Mall, Mohammadwadi, Salunkhe Vihar Road, Pune",Shubhangi Jagdev,Rated 3.0,Ordered a mc spicy chicken burger. It was alright. The mayonnaise was not put generously in the burger. The price was reasonable. Good experie,https://www.zomato.com/pune/mcdonalds-salunkhe-vihar-road
McDonald's,+912065366066,"Survey 33 /1 /1Poorva Shrushti, Building C, Ground Floor, Wadgoan Khurd, Near Lokmat Bhavan, Nanded City, Sinhgad Road, Pune",Manisha Rananaware,Rated 4.0,"We visited this branch with kid. she is fond of burger & french fries.
We had burgers & cheese fries.
mirinda float.
Overall avrage",https://www.zomato.com/pune/mcdonalds-1-sinhgad-road
